ID,score,pred_f1,pred_p90,CustomerID,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Class
15790113,11.726988210602313,1,1,15790113,1,17.5,22.0,3,1,7,0.0,0,0,0,1,3,450,100001,1
15598802,6.051971789244435,1,1,15598802,0,47.42,8.0,2,10,5,6.5,1,1,6,0,2,375,51101,1
15762716,5.7675885421421516,1,1,15762716,1,34.17,1.54,2,13,4,1.54,1,1,1,1,2,520,50001,1
15664615,3.7670001278589385,1,1,15664615,1,33.17,1.04,2,12,8,6.5,1,0,0,1,2,164,31286,1
15708714,3.1290585808643536,1,1,15708714,0,18.75,7.5,2,11,4,2.71,1,1,5,0,2,184,26727,1
15642098,2.2642308417178785,1,1,15642098,1,47.67,0.29,2,8,5,15.0,1,1,20,0,2,0,15001,1
15588123,2.2240839838821644,1,1,15588123,1,33.17,3.04,1,8,8,2.04,1,1,1,1,2,180,18028,1
15772329,1.7949066534278033,1,1,15772329,0,28.08,15.0,1,10,9,0.0,1,0,0,0,2,0,13213,1
15801817,1.7247036883781401,1,1,15801817,1,25.5,0.375,2,7,4,0.25,1,1,3,0,2,260,15109,1
15735837,1.6412103393921074,1,1,15735837,1,52.5,6.5,2,4,4,6.29,1,1,15,0,2,0,11203,1
